"MBK - RawData"
"Wavelength nm.","T%"
547.20,100.1938
547.30,100.1877
547.40,100.1877
547.50,100.1892
547.60,100.1907
547.70,100.1938
547.80,100.2014
547.90,100.2075
548.00,100.2106
548.10,100.2136
548.20,100.2090
548.30,100.2075
548.40,100.2060
548.50,100.2045
548.60,100.2014
548.70,100.2060
548.80,100.2075
548.90,100.2090
549.00,100.2106
549.10,100.2090
549.20,100.2060
549.30,100.1984
549.40,100.1923
549.50,100.1831
549.60,100.1816
549.70,100.1801
549.80,100.1785
549.90,100.1801
550.00,100.1770
550.10,100.1755
550.20,100.1678
550.30,100.1617
550.40,100.1587
550.50,100.1556
550.60,100.1511
550.70,100.1480
550.80,100.1465
550.90,100.1465
551.00,100.1526
551.10,100.1572
551.20,100.1587
551.30,100.1648
551.40,100.1678
551.50,100.1678
551.60,100.1617
551.70,100.1633
551.80,100.1709
551.90,100.1755
552.00,100.1785
552.10,100.1831
552.20,100.1877
552.30,100.1892
552.40,100.1938
552.50,100.1968
552.60,100.1984
552.70,100.2029
552.80,100.2060
552.90,100.2029
553.00,100.2014
553.10,100.2014
553.20,100.1984
553.30,100.1923
553.40,100.1892
553.50,100.1862
553.60,100.1801
553.70,100.1740
553.80,100.1694
553.90,100.1648
554.00,100.1587
554.10,100.1511
554.20,100.1480
554.30,100.1465
554.40,100.1450
554.50,100.1434
554.60,100.1404
554.70,100.1465
554.80,100.1541
554.90,100.1587
555.00,100.1648
555.10,100.1724
555.20,100.1785
555.30,100.1816
555.40,100.1785
555.50,100.1785
555.60,100.1801
555.70,100.1816
555.80,100.1816
555.90,100.1801
556.00,100.1770
556.10,100.1755
556.20,100.1724
556.30,100.1709
556.40,100.1755
556.50,100.1831
556.60,100.1892
556.70,100.1907
556.80,100.1892
556.90,100.1907
557.00,100.1877
557.10,100.1846
557.20,100.1892
557.30,100.1923
557.40,100.1923
557.50,100.1862
557.60,100.1831
557.70,100.1816
557.80,100.1724
557.90,100.1694
558.00,100.1663
558.10,100.1648
558.20,100.1617
558.30,100.1633
558.40,100.1648
558.50,100.1633
558.60,100.1648
558.70,100.1648
558.80,100.1617
558.90,100.1587
559.00,100.1617
559.10,100.1617
559.20,100.1617
559.30,100.1617
559.40,100.1633
559.50,100.1678
559.60,100.1724
559.70,100.1770
559.80,100.1846
559.90,100.1892
560.00,100.1877
560.10,100.1831
560.20,100.1816
560.30,100.1785
560.40,100.1770
560.50,100.1770
560.60,100.1801
560.70,100.1846
560.80,100.1816
560.90,100.1785
561.00,100.1755
561.10,100.1740
561.20,100.1724
561.30,100.1709
561.40,100.1724
561.50,100.1770
561.60,100.1740
561.70,100.1740
561.80,100.1724
561.90,100.1740
562.00,100.1694
562.10,100.1678
562.20,100.1694
562.30,100.1694
562.40,100.1694
562.50,100.1694
562.60,100.1724
562.70,100.1770
562.80,100.1724
562.90,100.1663
563.00,100.1602
563.10,100.1526
563.20,100.1480
563.30,100.1465
563.40,100.1465
563.50,100.1465
563.60,100.1511
563.70,100.1511
563.80,100.1434
563.90,100.1389
564.00,100.1373
564.10,100.1358
564.20,100.1358
564.30,100.1404
564.40,100.1419
564.50,100.1419
564.60,100.1404
564.70,100.1343
564.80,100.1251
564.90,100.1160
565.00,100.1175
565.10,100.1205
565.20,100.1190
565.30,100.1221
565.40,100.1297
565.50,100.1343
565.60,100.1328
565.70,100.1297
565.80,100.1343
565.90,100.1404
566.00,100.1465
566.10,100.1450
566.20,100.1419
566.30,100.1389
566.40,100.1358
566.50,100.1343
566.60,100.1297
566.70,100.1343
566.80,100.1419
566.90,100.1465
567.00,100.1511
567.10,100.1541
567.20,100.1572
567.30,100.1617
567.40,100.1648
567.50,100.1617
567.60,100.1663
567.70,100.1663
567.80,100.1663
567.90,100.1602
568.00,100.1587
568.10,100.1602
568.20,100.1587
568.30,100.1633
568.40,100.1648
568.50,100.1694
568.60,100.1755
568.70,100.1740
568.80,100.1678
568.90,100.1633
569.00,100.1617
569.10,100.1572
569.20,100.1541
569.30,100.1541
569.40,100.1526
569.50,100.1495
569.60,100.1480
569.70,100.1465
569.80,100.1465
569.90,100.1511
570.00,100.1526
570.10,100.1495
570.20,100.1480
570.30,100.1450
570.40,100.1373
570.50,100.1343
570.60,100.1297
570.70,100.1297
570.80,100.1297
570.90,100.1328
571.00,100.1343
571.10,100.1343
571.20,100.1343
571.30,100.1343
571.40,100.1358
571.50,100.1373
571.60,100.1343
571.70,100.1343
571.80,100.1328
571.90,100.1312
572.00,100.1312
572.10,100.1282
572.20,100.1297
572.30,100.1358
572.40,100.1373
572.50,100.1343
572.60,100.1343
572.70,100.1373
572.80,100.1358
572.90,100.1343
573.00,100.1343
573.10,100.1343
573.20,100.1297
573.30,100.1190
573.40,100.1114
573.50,100.1053
573.60,100.0992
573.70,100.0977
573.80,100.1038
573.90,100.1083
574.00,100.1099
574.10,100.1160
574.20,100.1175
574.30,100.1205
