Dil.,1,Acq. Method File,2025 VOCs(10) NEW
Sample Chromatogram


Name,,RT,Resp.,ISTD Resp,,Final Conc.,Units
"1,1-DCE",,,,6208,,ND,mg/L
DCM,,5.153,5878,6208,,0.008,mg/L
Chloroform,,5.725,52,6208,,0.000,mg/L
Carbon Chloride,,,,6208,,ND,mg/L
"1,2-DCE",,6.083,521,6208,,0.004,mg/L
Benzene,,,,6208,,ND,mg/L
TCE,,6.237,27,6208,,0.010,mg/L
Toluene,,6.854,188,6208,,0.008,mg/L
PCE,,7.156,40,6208,,0.012,mg/L
Xylene,,7.939,139,6208,,0.010,mg/L
"1,1-DCE"
,,
DCM
,,
Chloroform
,,
Carbon Chloride
,,
"1,2-DCE"
,,
Benzene
,,
TCE
,,
Toluene
,,
PCE
,,
Xylene
,,
Batch Data Path,D:\DATA\2026년\1. 2026년 1월\VOC10(JR 1.2)\QuantResults\VOC10.batch.bin
Analysis Time,2026-01-04 오후 1:08:54,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2
Report Generation Time,2026-04-10 오전 10:52:31,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2
Calibration Last Update,2026-01-04 오후 1:08:54,Batch State,Processed
Analyze Quant Version,10.2,Report Quant Version,10.2
Acq. Date-Time,2026-01-04 오후 12:16:01,Data File,MBK.D
Type,Blank,Name,MBK
Dil.,1,Acq. Method File,2025 VOCs(10) NEW
Sample Chromatogram


Name,,RT,Resp.,ISTD Resp,,Final Conc.,Units
"1,1-DCE",,4.996,17,5921,,0.013,mg/L
DCM,,5.153,4048,5921,,0.005,mg/L
Chloroform,,5.720,11100,5921,,0.008,mg/L
Carbon Chloride,,5.922,13,5921,,0.014,mg/L
"1,2-DCE",,5.980,37,5921,,0.003,mg/L
Benzene,,,,5921,,ND,mg/L
TCE,,6.238,22,5921,,0.010,mg/L
Toluene,,6.855,291,5921,,0.008,mg/L
PCE,,7.150,35,5921,,0.012,mg/L
Xylene,,7.937,158,5921,,0.010,mg/L
"1,1-DCE"
,,
DCM
,,
Chloroform
,,
Carbon Chloride
,,
"1,2-DCE"
,,
Benzene
,,
TCE
,,
Toluene
,,
PCE
,,
Xylene
,,
Batch Data Path,D:\DATA\2026년\1. 2026년 1월\VOC10(JR 1.2)\QuantResults\VOC10.batch.bin
Analysis Time,2026-01-04 오후 1:08:54,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2
Report Generation Time,2026-04-10 오전 10:52:31,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2
Calibration Last Update,2026-01-04 오후 1:08:54,Batch State,Processed
Analyze Quant Version,10.2,Report Quant Version,10.2
Acq. Date-Time,2026-01-04 오후 12:41:39,Data File,-CCV-.D
Type,QC,Name,-CCV-
Dil.,1,Acq. Method File,2025 VOCs(10) NEW
Sample Chromatogram


Name,,RT,Resp.,ISTD Resp,,Final Conc.,Units
"1,1-DCE",,4.991,347582,5531,,0.216,mg/L
DCM,,5.153,97666,5531,,0.204,mg/L
Chloroform,,5.720,225785,5531,,0.202,mg/L
Carbon Chloride,,5.922,286370,5531,,0.214,mg/L
"1,2-DCE",,5.986,109870,5531,,0.210,mg/L
Benzene,,5.999,513310,5531,,0.199,mg/L
TCE,,6.232,163418,5531,,0.202,mg/L
Toluene,,6.854,527033,5531,,0.196,mg/L
PCE,,7.150,166904,5531,,0.205,mg/L
Xylene,,7.939,683213,5531,,0.196,mg/L
"1,1-DCE"
,,
DCM
,,
Chloroform
,,
Carbon Chloride
,,
"1,2-DCE"
,,
Benzene
,,
TCE
,,
Toluene
,,
PCE
,,
Xylene
,,
