Batch Data Path,"D:\DATA\2026년\1. 2026년 1월\VOC10(HS 1.21, HC 1.22)\QuantResults\VOC10.batch.bin"
Analysis Time,2026-01-26 오후 1:50:45,Analyst Name,DESKTOP-N82KMQD\수질분석센터 GC2,Report Generator Name,DESKTOP-N82KMQD\수질분석센터 GC2
Calibration Last Update,2026-01-26 오후 1:50:45,Analyze Quant Version,10.2,Report Quant Version,10.2
"1,1-DCE"
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
CCV-3.D,,QC,7.150,,152367,,2951,,0.180
Xylene
Data File,,Type,RT,,Resp.,,ISTD Resp,,Final Conc.
VOC10 ST-01.D,,Cal,7.937,,8683,,2443,,0.027
VOC10 ST-02.D,,Cal,7.937,,21312,,2252,,0.031
VOC10 ST-03.D,,Cal,7.937,,73353,,2335,,0.048
VOC10 ST-04.D,,Cal,7.942,,190344,,2502,,0.081
VOC10 ST-05.D,,Cal,7.939,,553104,,2689,,0.179
VOC3 ST-06.D,,Cal,7.937,,1374458,,2650,,0.415
BK-.D,,Blank,0.000,,0,,2623,,ND
FBK(HC 25-01-22).D,,Blank,0.000,,0,,2464,,ND
FBK(HS 25-01-21).D,,Blank,0.000,,0,,2356,,ND
HS(25-01-21).D,,Sample,0.000,,0,,5263,,ND
HC-01.D,,Sample,0.000,,0,,2814,,ND
HC-02.D,,Sample,0.000,,0,,2874,,ND
HC-03.D,,Sample,0.000,,0,,2944,,ND
HC-04.D,,Sample,0.000,,0,,2863,,ND
HC-05.D,,Sample,0.000,,0,,3013,,ND
HC-06.D,,Sample,0.000,,0,,3145,,ND
HC-07.D,,Sample,0.000,,0,,3061,,ND
HC-08.D,,Sample,0.000,,0,,2914,,ND
HC-09.D,,Sample,0.000,,0,,3395,,ND
HC-11.D,,Sample,0.000,,0,,2864,,ND
HC-12.D,,Sample,0.000,,0,,2964,,ND
HC-13.D,,Sample,0.000,,0,,3003,,ND
HC-14.D,,Sample,0.000,,0,,2961,,ND
HC-15.D,,Sample,0.000,,0,,3166,,ND
HC-16.D,,Sample,0.000,,0,,3431,,ND
MBK-1.D,,Blank,0.000,,0,,3156,,ND
